epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2619.98,0.79363,0.78167,1.19289,0.9477,0.9372,0.96801,0.7972,0.72013,0.53726,1.19526,0.000371313,0.000371313,0.000371313
43,2680.75,0.77396,0.76927,1.17958,0.95111,0.94542,0.97157,0.7975,0.70638,0.46831,1.17719,0.000365125,0.000365125,0.000365125
44,2742.21,0.7752,0.75254,1.17826,0.95251,0.93536,0.97289,0.80398,0.7035,0.49786,1.17739,0.000358938,0.000358938,0.000358938
45,2803.6,0.76799,0.75716,1.17666,0.96747,0.93381,0.9796,0.80915,0.68529,0.46499,1.15856,0.00035275,0.00035275,0.00035275
46,2864.25,0.76539,0.75894,1.17177,0.94145,0.95631,0.97992,0.81621,0.68778,0.47879,1.17081,0.000346563,0.000346563,0.000346563
47,2925.1,0.75202,0.74064,1.16605,0.94797,0.94134,0.97591,0.81706,0.65874,0.44621,1.14858,0.000340375,0.000340375,0.000340375
48,2987.68,0.75721,0.75428,1.16535,0.96818,0.94104,0.97915,0.81795,0.66835,0.46294,1.15494,0.000334188,0.000334188,0.000334188
49,3049.09,0.75289,0.73169,1.16676,0.95821,0.93104,0.97483,0.81465,0.66746,0.46066,1.1602,0.000328,0.000328,0.000328
50,3111.05,0.74653,0.73228,1.1636,0.95745,0.93211,0.97066,0.81378,0.67157,0.47392,1.14142,0.000321812,0.000321812,0.000321812
51,3173.23,0.73551,0.71172,1.15591,0.96619,0.94354,0.97372,0.80694,0.6765,0.45745,1.15988,0.000315625,0.000315625,0.000315625
52,3233.92,0.7378,0.71426,1.15978,0.97071,0.94751,0.97814,0.82251,0.67117,0.46265,1.14759,0.000309437,0.000309437,0.000309437
53,3294.68,0.72859,0.71015,1.15088,0.97142,0.95662,0.97836,0.82978,0.64196,0.43093,1.11963,0.00030325,0.00030325,0.00030325
54,3356.98,0.71976,0.69023,1.14469,0.95787,0.95563,0.9759,0.82774,0.6439,0.43075,1.11328,0.000297063,0.000297063,0.000297063
55,3417.78,0.70902,0.68347,1.14099,0.97344,0.94157,0.97879,0.83466,0.63143,0.43096,1.10795,0.000290875,0.000290875,0.000290875
56,3479.24,0.71385,0.67248,1.13774,0.97259,0.94914,0.97793,0.83611,0.6279,0.42776,1.10135,0.000284688,0.000284688,0.000284688
57,3542.79,0.70227,0.67764,1.13541,0.96669,0.96614,0.9842,0.83674,0.61893,0.40128,1.10273,0.0002785,0.0002785,0.0002785
58,3603.31,0.69992,0.66378,1.13327,0.98046,0.94794,0.98387,0.84657,0.61474,0.41369,1.09705,0.000272313,0.000272313,0.000272313
59,3664.17,0.70387,0.67464,1.13823,0.97556,0.95082,0.97677,0.84253,0.605,0.42217,1.0868,0.000266125,0.000266125,0.000266125
60,3726.28,0.69056,0.65481,1.12639,0.97247,0.95679,0.98022,0.84326,0.59853,0.40145,1.08935,0.000259938,0.000259938,0.000259938
61,3786.97,0.67878,0.66066,1.11769,0.9723,0.96385,0.98208,0.85012,0.59375,0.39979,1.07395,0.00025375,0.00025375,0.00025375
62,3847.79,0.68229,0.63523,1.118,0.97151,0.96711,0.98179,0.85187,0.5829,0.43551,1.06965,0.000247563,0.000247563,0.000247563
63,3908.61,0.67582,0.63123,1.11557,0.98107,0.96398,0.98125,0.85724,0.59112,0.40112,1.07215,0.000241375,0.000241375,0.000241375
64,3970.46,0.6697,0.63586,1.11512,0.97486,0.96422,0.97858,0.8507,0.58033,0.40171,1.06253,0.000235188,0.000235188,0.000235188
65,4031.54,0.66564,0.62438,1.11175,0.97577,0.96749,0.98106,0.8567,0.56588,0.41485,1.05978,0.000229,0.000229,0.000229
66,4092.02,0.64647,0.61362,1.10204,0.97357,0.97041,0.98195,0.85966,0.56086,0.37598,1.0507,0.000222813,0.000222813,0.000222813
67,4154.02,0.64768,0.59887,1.10106,0.97411,0.9701,0.98245,0.86199,0.55692,0.37355,1.04172,0.000216625,0.000216625,0.000216625
68,4215.87,0.65922,0.61734,1.10421,0.97214,0.97207,0.97908,0.86049,0.5587,0.37519,1.04134,0.000210437,0.000210437,0.000210437
69,4277.49,0.64281,0.60127,1.10172,0.98223,0.96089,0.98093,0.86601,0.54472,0.38276,1.03933,0.00020425,0.00020425,0.00020425
70,4339.34,0.65043,0.60102,1.1044,0.96789,0.96935,0.97845,0.86778,0.53172,0.36692,1.02175,0.000198063,0.000198063,0.000198063
71,4401.38,0.63326,0.57592,1.09168,0.97982,0.97114,0.98208,0.87028,0.53911,0.37911,1.0288,0.000191875,0.000191875,0.000191875
72,4462.53,0.64221,0.60122,1.09639,0.97707,0.9766,0.98573,0.87474,0.53707,0.37653,1.03404,0.000185688,0.000185688,0.000185688
